date,close
2012-01-20,822.9323
2012-01-30,829.6874
2012-01-31,832.4689
2012-02-01,826.5085
2012-02-02,827.3033
2012-02-03,828.098
2012-02-06,838.8267
2012-02-07,831.2769
2012-02-08,838.8267
2012-02-09,827.7006
2012-02-10,824.5217
2012-02-13,822.9323
2012-02-14,819.7534
2012-02-15,818.5613
2012-02-16,812.6009
2012-02-17,811.8062
2012-02-20,814.5877
2012-02-21,818.9587
2012-02-22,821.3429
2012-02-23,820.5481
2012-02-24,820.5481
2012-02-27,826.9059
2012-02-28,828.4953
2012-02-29,830.8795
2012-03-01,823.727
2012-03-02,830.4821
2012-03-05,820.9455
2012-03-06,820.1508
2012-03-07,811.8062
2012-03-08,815.7798
2012-03-09,820.9455
2012-03-12,816.1772
2012-03-13,818.9587
2012-03-14,807.4353
2012-03-15,803.0643
2012-03-16,801.8722
2012-03-19,797.5013
2012-03-20,804.2564
2012-03-21,809.8194
2012-03-22,809.8194
2012-03-23,813.3957
2012-03-26,812.2036
2012-03-27,811.4089
2012-03-28,805.4485
2012-03-29,804.6537
2012-03-30,805.0511
2012-04-05,802.6669
2012-04-06,799.7123
2012-04-09,796.2473
2012-04-10,798.1081
2012-04-11,803.7277
2012-04-12,807.5622
2012-04-13,802.1938
2012-04-16,799.1262
2012-04-17,798.3593
2012-04-18,788.7728
2012-04-19,788.0059
2012-04-20,788.3893
2012-04-23,770.7503
2012-04-24,772.2841
2012-04-25,774.2014
2012-04-26,774.5849
2012-04-27,770.3668
2012-05-02,769.2165
2012-05-03,764.615
2012-05-04,766.9157
2012-05-07,765.7653
2012-05-08,754.6451
2012-05-09,756.5623
2012-05-10,759.2466
2012-05-11,755.7954
2012-05-14,729.3368
2012-05-15,727.4195
2012-05-16,716.6827
2012-05-17,722.0511
2012-05-18,716.6827
2012-05-21,722.4346
2012-05-22,722.4346
2012-05-23,712.4647
2012-05-24,714.382
2012-05-25,715.9158
2012-05-28,722.0511
2012-05-29,723.2015
2012-05-30,718.6
2012-05-31,715.9158
2012-06-01,712.8482
2012-06-04,686.773
2012-06-05,692.1414
2012-06-06,696.3595
2012-06-07,694.8256
2012-06-08,684.4723
2012-06-11,690.6076
2012-06-12,672.9685
2012-06-13,669.5174
2012-06-14,664.149
2012-06-15,669.9009
2012-06-18,670.6678
2012-06-19,670.2843
2012-06-20,676.8031
2012-06-21,664.149
2012-06-25,651.1114
2012-06-26,648.4272
2012-06-27,643.8257
2012-06-28,636.54
2012-06-29,639.2242
2012-07-02,658.0137
2012-07-03,663.7655
2012-07-04,671.8182
2012-07-05,679.1039
2012-07-06,675.6527
2012-07-09,666.8332
2012-07-10,664.9159
2012-07-11,661.8483
2012-07-12,682.1715
2012-07-13,683.3219
2012-07-16,662.9986
2012-07-17,650.728
2012-07-18,654.1791
2012-07-19,648.0438
2012-07-20,625.451
2012-07-23,611.9285
2012-07-24,616.7564
2012-07-25,598.5349
2012-07-26,605.4279
2012-07-27,612.7037
2012-07-30,597.3861
2012-07-31,600.0667
2012-08-01,606.5767
2012-08-02,608.8743
2012-08-03,600.4496
2012-08-06,599.3008
2012-08-07,600.8326
2012-08-08,603.8961
2012-08-09,606.9596
2012-08-10,605.8108
2012-08-13,598.152
2012-08-14,579.005
2012-08-15,581.6856
2012-08-16,580.9197
2012-08-17,583.6003
2012-08-20,582.4515
2012-08-21,570.5803
2012-08-22,570.1974
2012-08-23,573.6438
2012-08-24,565.6021
2012-08-27,565.985
2012-08-28,552.9651
2012-08-29,542.6257
2012-08-30,536.4987
2012-08-31,534.584
2012-09-03,529.2228
2012-09-04,510.4588
2012-09-05,496.29
2012-09-06,503.1829
2012-09-07,520.0323
2012-09-10,542.6257
2012-09-11,544.1575
2012-09-12,556.0286
2012-09-13,551.0504
2012-09-14,554.8798
2012-09-17,551.0504
2012-09-18,563.3045
2012-09-19,561.3898
2012-09-20,547.6039
2012-09-21,548.7528
2012-09-24,552.9651
2012-09-25,553.731
2012-09-26,550.6675
2012-09-27,557.5604
2012-09-28,561.0068
2012-10-08,562.5386
2012-10-09,583.9832
2012-10-10,590.4932
2012-10-11,584.7491
2012-10-12,595.4714
2012-10-15,585.515
2012-10-16,593.5567
2012-10-17,600.8326
2012-10-18,606.1937
2012-10-19,595.4714
2012-10-22,602.3643
2012-10-23,589.3444
2012-10-24,593.1738
2012-10-25,597.3861
2012-10-26,596.6202
2012-10-29,588.4555
2012-10-30,588.606
2012-10-31,591.6176
2012-11-01,596.9463
2012-11-02,596.5721
2012-11-05,593.9522
2012-11-06,591.3324
2012-11-07,580.4788
2012-11-08,578.6075
2012-11-09,583.8472
2012-11-12,589.8354
2012-11-13,586.8413
2012-11-14,586.467
2012-11-15,588.7126
2012-11-16,594.3265
2012-11-19,586.0928
2012-11-20,587.5898
2012-11-21,596.1978
2012-11-22,593.9522
2012-11-23,594.3265
2012-11-26,587.9641
2012-11-27,586.8413
2012-11-28,582.3501
2012-11-29,573.7421
2012-11-30,571.8708
2012-12-03,584.2214
2012-12-04,584.97
2012-12-05,593.578
2012-12-06,589.0868
2012-12-07,600.3147
2012-12-10,607.7999
2012-12-11,607.0514
2012-12-12,608.5484
2012-12-13,605.9286
2012-12-14,620.5248
2012-12-17,624.6416
2012-12-18,627.6357
2012-12-19,628.3842
2012-12-20,626.1387
2012-12-21,627.6357
2012-12-24,626.1387
2012-12-25,638.4893
2012-12-26,647.0973
2012-12-27,647.0973
2012-12-28,658.3251
2012-12-31,682.6521
2013-01-04,688.266
2013-01-07,679.658
2013-01-08,686.0204
2013-01-09,678.5352
2013-01-10,677.0382
2013-01-11,659.8222
2013-01-14,683.4006
2013-01-15,676.6639
2013-01-16,668.8044
2013-01-17,680.4065
2013-01-18,697.9968
2013-01-21,697.6225
2013-01-22,700.2424
2013-01-23,703.985
2013-01-24,697.9968
2013-01-25,700.6166
2013-01-28,699.4938
2013-01-29,705.8563
2013-01-30,705.482
2013-01-31,711.8445
2013-02-01,712.593
2013-02-04,718.5812
2013-02-05,715.5871
2013-02-06,714.09
2013-02-07,707.3533
2013-02-08,706.6048
2013-02-18,691.5947
2013-02-19,693.0533
2013-02-20,687.4906
2013-02-21,663.7377
2013-02-22,647.1883
2013-02-25,647.5404
2013-02-26,637.6812
2013-02-27,648.5968
2013-02-28,657.3997
2013-03-01,646.4841
2013-03-04,624.3008
2013-03-05,635.5685
2013-03-06,630.6389
2013-03-07,620.7796
2013-03-08,616.2021
2013-03-11,610.5683
2013-03-12,610.9204
2013-03-13,603.8781
2013-03-14,582.0469
2013-03-15,587.3287
2013-03-18,583.8075
2013-03-19,589.4414
2013-03-20,592.9625
2013-03-21,597.54
2013-03-22,591.2019
2013-03-25,592.6104
2013-03-26,584.5118
2013-03-27,583.8075
2013-03-28,566.5539
2013-03-29,556.6946
2013-04-01,552.8214
2013-04-02,570.7792
2013-04-03,570.075
2013-04-08,575.7089
2013-04-09,573.9483
2013-04-10,567.9623
2013-04-11,562.3285
2013-04-12,563.0327
2013-04-15,545.0748
2013-04-16,546.1312
2013-04-17,537.3283
2013-04-18,538.7367
2013-04-19,545.0748
2013-04-22,535.2156
2013-04-23,525.3563
2013-04-24,534.5113
2013-04-25,533.455
2013-04-26,527.8212
2013-05-02,518.314
2013-05-03,527.1169
2013-05-06,534.1592
2013-05-07,529.5817
2013-05-08,539.7931
2013-05-09,533.8071
2013-05-10,544.3706
2013-05-13,554.934
2013-05-14,554.2298
2013-05-15,533.8071
2013-05-16,533.1029
2013-05-17,546.1312
2013-05-20,547.8917
2013-05-21,550.0044
2013-05-22,553.1735
2013-05-23,544.0185
2013-05-24,546.4833
2013-05-27,533.1029
2013-05-28,533.455
2013-05-29,522.8915
2013-05-30,525.7085
2013-05-31,516.9056
2013-06-03,523.5958
2013-06-04,526.4127
2013-06-05,525.7085
2013-06-06,504.2294
2013-06-07,506.6942
2013-06-13,505.2858
2013-06-14,506.6942
2013-06-17,510.9196
2013-06-18,511.976
2013-06-19,513.7365
2013-06-20,495.7786
2013-06-21,494.3702
2013-06-24,484.5109
2013-06-25,487.6531
2013-06-26,481.094
2013-06-27,486.2446
2013-06-28,488.1479
2013-07-01,488.8235
2013-07-02,488.1479
2013-07-03,481.7293
2013-07-04,486.7966
2013-07-05,488.1479
2013-07-08,481.7293
2013-07-09,481.0537
2013-07-10,489.1613
2013-07-11,494.9042
2013-07-12,487.1344
2013-07-15,483.4184
2013-07-16,484.094
2013-07-17,493.2151
2013-07-18,494.5664
2013-07-19,499.9715
2013-07-22,499.6337
2013-07-23,501.9984
2013-07-24,500.6471
2013-07-25,498.9581
2013-07-26,496.2555
2013-07-29,490.1748
2013-07-30,488.8235
2013-07-31,492.8773
2013-08-01,497.9446
2013-08-02,501.9984
2013-08-05,502.6741
2013-08-06,500.3093
2013-08-07,501.6606
2013-08-08,512.4708
2013-08-09,517.2003
2013-08-12,533.7534
2013-08-13,544.2257
2013-08-14,540.1719
2013-08-15,540.8476
2013-08-16,534.7668
2013-08-19,539.8341
2013-08-20,541.1854
2013-08-21,542.8745
2013-08-22,542.5367
2013-08-23,554.0225
2013-08-26,558.4141
2013-08-27,559.4276
2013-08-28,535.4425
2013-08-29,535.7803
2013-08-30,534.429
2013-09-02,549.9687
2013-09-03,544.9014
2013-09-04,543.5501
2013-09-05,545.2392
2013-09-06,543.8879
2013-09-09,547.2661
2013-09-10,543.5501
2013-09-11,543.5501
2013-09-12,535.1046
2013-09-13,531.7265
2013-09-16,529.0239
2013-09-17,531.0508
2013-09-18,535.4425
2013-09-23,537.8072
2013-09-24,534.429
